order,bill,tip,sex,smoker,day,time,size
Order1,16.99,1.01,Female,No,Sun,Dinner,6
Order2,10.34,1.66,Male,No,Sun,Dinner,6
Order3,21.01,3.5,Male,No,Sun,Dinner,6
Order4,23.68,3.31,Male,No,Sun,Dinner,6
Order5,24.59,3.61,Female,No,Sun,Dinner,5
Order6,25.29,4.71,Male,No,Sun,Dinner,5
Order7,8.77,2,Male,No,Sun,Dinner,5
Order8,26.88,3.12,Male,No,Sun,Dinner,5
Order9,15.04,1.96,Male,No,Sun,Dinner,5
Order10,14.78,3.23,Male,No,Sun,Dinner,4
Order11,10.27,1.71,Male,No,Sun,Dinner,4
Order12,35.26,5,Female,No,Sun,Dinner,4
Order13,15.42,1.57,Male,No,Sun,Dinner,4
Order14,18.43,3,Male,No,Sun,Dinner,4
Order15,14.83,3.02,Female,No,Sun,Dinner,4
Order16,21.58,3.92,Male,No,Sun,Dinner,4
Order17,10.33,1.67,Female,No,Sun,Dinner,4
Order18,16.29,3.71,Male,No,Sun,Dinner,4
Order19,16.97,3.5,Female,No,Sun,Dinner,4
Order20,20.65,3.35,Male,No,Sat,Dinner,4
Order21,17.92,4.08,Male,No,Sat,Dinner,4
Order22,20.29,2.75,Female,No,Sat,Dinner,4
Order23,15.77,2.23,Female,No,Sat,Dinner,4
Order24,39.42,7.58,Male,No,Sat,Dinner,4
Order25,19.82,3.18,Male,No,Sat,Dinner,4
Order26,17.81,2.34,Male,No,Sat,Dinner,4
Order27,13.37,2,Male,No,Sat,Dinner,4
Order28,12.69,2,Male,No,Sat,Dinner,4
Order29,21.7,4.3,Male,No,Sat,Dinner,4
Order30,19.65,3,Female,No,Sat,Dinner,4
Order31,9.55,1.45,Male,No,Sat,Dinner,4
Order32,18.35,2.5,Male,No,Sat,Dinner,4
Order33,15.06,3,Female,No,Sat,Dinner,4
Order34,20.69,2.45,Female,No,Sat,Dinner,4
Order35,17.78,3.27,Male,No,Sat,Dinner,4
Order36,24.06,3.6,Male,No,Sat,Dinner,4
Order37,16.31,2,Male,No,Sat,Dinner,4
Order38,16.93,3.07,Female,No,Sat,Dinner,4
Order39,18.69,2.31,Male,No,Sat,Dinner,4
Order40,31.27,5,Male,No,Sat,Dinner,4
Order41,16.04,2.24,Male,No,Sat,Dinner,4
Order42,17.46,2.54,Male,No,Sun,Dinner,4
Order43,13.94,3.06,Male,No,Sun,Dinner,4
Order44,9.68,1.32,Male,No,Sun,Dinner,4
Order45,30.4,5.6,Male,No,Sun,Dinner,4
Order46,18.29,3,Male,No,Sun,Dinner,4
Order47,22.23,5,Male,No,Sun,Dinner,3
Order48,32.4,6,Male,No,Sun,Dinner,3
Order49,28.55,2.05,Male,No,Sun,Dinner,3
Order50,18.04,3,Male,No,Sun,Dinner,3
Order51,12.54,2.5,Male,No,Sun,Dinner,3
Order52,10.29,2.6,Female,No,Sun,Dinner,3
Order53,34.81,5.2,Female,No,Sun,Dinner,3
Order54,9.94,1.56,Male,No,Sun,Dinner,3
Order55,25.56,4.34,Male,No,Sun,Dinner,3
Order56,19.49,3.51,Male,No,Sun,Dinner,3
Order57,38.01,3,Male,Yes,Sat,Dinner,3
Order58,26.41,1.5,Female,No,Sat,Dinner,3
Order59,11.24,1.76,Male,Yes,Sat,Dinner,3
Order60,48.27,6.73,Male,No,Sat,Dinner,3
Order61,20.29,3.21,Male,Yes,Sat,Dinner,3
Order62,13.81,2,Male,Yes,Sat,Dinner,3
Order63,11.02,1.98,Male,Yes,Sat,Dinner,3
Order64,18.29,3.76,Male,Yes,Sat,Dinner,3
Order65,17.59,2.64,Male,No,Sat,Dinner,3
Order66,20.08,3.15,Male,No,Sat,Dinner,3
Order67,16.45,2.47,Female,No,Sat,Dinner,3
Order68,3.07,1,Female,Yes,Sat,Dinner,3
Order69,20.23,2.01,Male,No,Sat,Dinner,3
Order70,15.01,2.09,Male,Yes,Sat,Dinner,3
Order71,12.02,1.97,Male,No,Sat,Dinner,3
Order72,17.07,3,Female,No,Sat,Dinner,3
Order73,26.86,3.14,Female,Yes,Sat,Dinner,3
Order74,25.28,5,Female,Yes,Sat,Dinner,3
Order75,14.73,2.2,Female,No,Sat,Dinner,3
Order76,10.51,1.25,Male,No,Sat,Dinner,3
Order77,17.92,3.08,Male,Yes,Sat,Dinner,3
Order78,27.2,4,Male,No,Thur,Lunch,3
Order79,22.76,3,Male,No,Thur,Lunch,3
Order80,17.29,2.71,Male,No,Thur,Lunch,3
Order81,19.44,3,Male,Yes,Thur,Lunch,3
Order82,16.66,3.4,Male,No,Thur,Lunch,3
Order83,10.07,1.83,Female,No,Thur,Lunch,3
Order84,32.68,5,Male,Yes,Thur,Lunch,3
Order85,15.98,2.03,Male,No,Thur,Lunch,2
Order86,34.83,5.17,Female,No,Thur,Lunch,2
Order87,13.03,2,Male,No,Thur,Lunch,2
Order88,18.28,4,Male,No,Thur,Lunch,2
Order89,24.71,5.85,Male,No,Thur,Lunch,2
Order90,21.16,3,Male,No,Thur,Lunch,2
Order91,28.97,3,Male,Yes,Fri,Dinner,2
Order92,22.49,3.5,Male,No,Fri,Dinner,2
Order93,5.75,1,Female,Yes,Fri,Dinner,2
Order94,16.32,4.3,Female,Yes,Fri,Dinner,2
Order95,22.75,3.25,Female,No,Fri,Dinner,2
Order96,40.17,4.73,Male,Yes,Fri,Dinner,2
Order97,27.28,4,Male,Yes,Fri,Dinner,2
Order98,12.03,1.5,Male,Yes,Fri,Dinner,2
Order99,21.01,3,Male,Yes,Fri,Dinner,2
Order100,12.46,1.5,Male,No,Fri,Dinner,2
Order101,11.35,2.5,Female,Yes,Fri,Dinner,2
Order102,15.38,3,Female,Yes,Fri,Dinner,2
Order103,44.3,2.5,Female,Yes,Sat,Dinner,2
Order104,22.42,3.48,Female,Yes,Sat,Dinner,2
Order105,20.92,4.08,Female,No,Sat,Dinner,2
Order106,15.36,1.64,Male,Yes,Sat,Dinner,2
Order107,20.49,4.06,Male,Yes,Sat,Dinner,2
Order108,25.21,4.29,Male,Yes,Sat,Dinner,2
Order109,18.24,3.76,Male,No,Sat,Dinner,2
Order110,14.31,4,Female,Yes,Sat,Dinner,2
Order111,14,3,Male,No,Sat,Dinner,2
Order112,7.25,1,Female,No,Sat,Dinner,2
Order113,38.07,4,Male,No,Sun,Dinner,2
Order114,23.95,2.55,Male,No,Sun,Dinner,2
Order115,25.71,4,Female,No,Sun,Dinner,2
Order116,17.31,3.5,Female,No,Sun,Dinner,2
Order117,29.93,5.07,Male,No,Sun,Dinner,2
Order118,10.65,1.5,Female,No,Thur,Lunch,2
Order119,12.43,1.8,Female,No,Thur,Lunch,2
Order120,24.08,2.92,Female,No,Thur,Lunch,2
Order121,11.69,2.31,Male,No,Thur,Lunch,2
Order122,13.42,1.68,Female,No,Thur,Lunch,2
Order123,14.26,2.5,Male,No,Thur,Lunch,2
Order124,15.95,2,Male,No,Thur,Lunch,2
Order125,12.48,2.52,Female,No,Thur,Lunch,2
Order126,29.8,4.2,Female,No,Thur,Lunch,2
Order127,8.52,1.48,Male,No,Thur,Lunch,2
Order128,14.52,2,Female,No,Thur,Lunch,2
Order129,11.38,2,Female,No,Thur,Lunch,2
Order130,22.82,2.18,Male,No,Thur,Lunch,2
Order131,19.08,1.5,Male,No,Thur,Lunch,2
Order132,20.27,2.83,Female,No,Thur,Lunch,2
Order133,11.17,1.5,Female,No,Thur,Lunch,2
Order134,12.26,2,Female,No,Thur,Lunch,2
Order135,18.26,3.25,Female,No,Thur,Lunch,2
Order136,8.51,1.25,Female,No,Thur,Lunch,2
Order137,10.33,2,Female,No,Thur,Lunch,2
Order138,14.15,2,Female,No,Thur,Lunch,2
Order139,16,2,Male,Yes,Thur,Lunch,2
Order140,13.16,2.75,Female,No,Thur,Lunch,2
Order141,17.47,3.5,Female,No,Thur,Lunch,2
Order142,34.3,6.7,Male,No,Thur,Lunch,2
Order143,41.19,5,Male,No,Thur,Lunch,2
Order144,27.05,5,Female,No,Thur,Lunch,2
Order145,16.43,2.3,Female,No,Thur,Lunch,2
Order146,8.35,1.5,Female,No,Thur,Lunch,2
Order147,18.64,1.36,Female,No,Thur,Lunch,2
Order148,11.87,1.63,Female,No,Thur,Lunch,2
Order149,9.78,1.73,Male,No,Thur,Lunch,2
Order150,7.51,2,Male,No,Thur,Lunch,2
Order151,14.07,2.5,Male,No,Sun,Dinner,2
Order152,13.13,2,Male,No,Sun,Dinner,2
Order153,17.26,2.74,Male,No,Sun,Dinner,2
Order154,24.55,2,Male,No,Sun,Dinner,2
Order155,19.77,2,Male,No,Sun,Dinner,2
Order156,29.85,5.14,Female,No,Sun,Dinner,2
Order157,48.17,5,Male,No,Sun,Dinner,2
Order158,25,3.75,Female,No,Sun,Dinner,2
Order159,13.39,2.61,Female,No,Sun,Dinner,2
Order160,16.49,2,Male,No,Sun,Dinner,2
Order161,21.5,3.5,Male,No,Sun,Dinner,2
Order162,12.66,2.5,Male,No,Sun,Dinner,2
Order163,16.21,2,Female,No,Sun,Dinner,2
Order164,13.81,2,Male,No,Sun,Dinner,2
Order165,17.51,3,Female,Yes,Sun,Dinner,2
Order166,24.52,3.48,Male,No,Sun,Dinner,2
Order167,20.76,2.24,Male,No,Sun,Dinner,2
Order168,31.71,4.5,Male,No,Sun,Dinner,2
Order169,10.59,1.61,Female,Yes,Sat,Dinner,2
Order170,10.63,2,Female,Yes,Sat,Dinner,2
Order171,50.81,10,Male,Yes,Sat,Dinner,2
Order172,15.81,3.16,Male,Yes,Sat,Dinner,2
Order173,7.25,5.15,Male,Yes,Sun,Dinner,2
Order174,31.85,3.18,Male,Yes,Sun,Dinner,2
Order175,16.82,4,Male,Yes,Sun,Dinner,2
Order176,32.9,3.11,Male,Yes,Sun,Dinner,2
Order177,17.89,2,Male,Yes,Sun,Dinner,2
Order178,14.48,2,Male,Yes,Sun,Dinner,2
Order179,9.6,4,Female,Yes,Sun,Dinner,2
Order180,34.63,3.55,Male,Yes,Sun,Dinner,2
Order181,34.65,3.68,Male,Yes,Sun,Dinner,2
Order182,23.33,5.65,Male,Yes,Sun,Dinner,2
Order183,45.35,3.5,Male,Yes,Sun,Dinner,2
Order184,23.17,6.5,Male,Yes,Sun,Dinner,2
Order185,40.55,3,Male,Yes,Sun,Dinner,2
Order186,20.69,5,Male,No,Sun,Dinner,2
Order187,20.9,3.5,Female,Yes,Sun,Dinner,2
Order188,30.46,2,Male,Yes,Sun,Dinner,2
Order189,18.15,3.5,Female,Yes,Sun,Dinner,2
Order190,23.1,4,Male,Yes,Sun,Dinner,2
Order191,15.69,1.5,Male,Yes,Sun,Dinner,2
Order192,19.81,4.19,Female,Yes,Thur,Lunch,2
Order193,28.44,2.56,Male,Yes,Thur,Lunch,2
Order194,15.48,2.02,Male,Yes,Thur,Lunch,2
Order195,16.58,4,Male,Yes,Thur,Lunch,2
Order196,7.56,1.44,Male,No,Thur,Lunch,2
Order197,10.34,2,Male,Yes,Thur,Lunch,2
Order198,43.11,5,Female,Yes,Thur,Lunch,2
Order199,13,2,Female,Yes,Thur,Lunch,2
Order200,13.51,2,Male,Yes,Thur,Lunch,2
Order201,18.71,4,Male,Yes,Thur,Lunch,2
Order202,12.74,2.01,Female,Yes,Thur,Lunch,2
Order203,13,2,Female,Yes,Thur,Lunch,2
Order204,16.4,2.5,Female,Yes,Thur,Lunch,2
Order205,20.53,4,Male,Yes,Thur,Lunch,2
Order206,16.47,3.23,Female,Yes,Thur,Lunch,2
Order207,26.59,3.41,Male,Yes,Sat,Dinner,2
Order208,38.73,3,Male,Yes,Sat,Dinner,2
Order209,24.27,2.03,Male,Yes,Sat,Dinner,2
Order210,12.76,2.23,Female,Yes,Sat,Dinner,2
Order211,30.06,2,Male,Yes,Sat,Dinner,2
Order212,25.89,5.16,Male,Yes,Sat,Dinner,2
Order213,48.33,9,Male,No,Sat,Dinner,2
Order214,13.27,2.5,Female,Yes,Sat,Dinner,2
Order215,28.17,6.5,Female,Yes,Sat,Dinner,2
Order216,12.9,1.1,Female,Yes,Sat,Dinner,2
Order217,28.15,3,Male,Yes,Sat,Dinner,2
Order218,11.59,1.5,Male,Yes,Sat,Dinner,2
Order219,7.74,1.44,Male,Yes,Sat,Dinner,2
Order220,30.14,3.09,Female,Yes,Sat,Dinner,2
Order221,12.16,2.2,Male,Yes,Fri,Lunch,2
Order222,13.42,3.48,Female,Yes,Fri,Lunch,2
Order223,8.58,1.92,Male,Yes,Fri,Lunch,2
Order224,15.98,3,Female,No,Fri,Lunch,2
Order225,13.42,1.58,Male,Yes,Fri,Lunch,2
Order226,16.27,2.5,Female,Yes,Fri,Lunch,2
Order227,10.09,2,Female,Yes,Fri,Lunch,2
Order228,20.45,3,Male,No,Sat,Dinner,2
Order229,13.28,2.72,Male,No,Sat,Dinner,2
Order230,22.12,2.88,Female,Yes,Sat,Dinner,2
Order231,24.01,2,Male,Yes,Sat,Dinner,2
Order232,15.69,3,Male,Yes,Sat,Dinner,2
Order233,11.61,3.39,Male,No,Sat,Dinner,2
Order234,10.77,1.47,Male,No,Sat,Dinner,2
Order235,15.53,3,Male,Yes,Sat,Dinner,2
Order236,10.07,1.25,Male,No,Sat,Dinner,2
Order237,12.6,1,Male,Yes,Sat,Dinner,2
Order238,32.83,1.17,Male,Yes,Sat,Dinner,2
Order239,35.83,4.67,Female,No,Sat,Dinner,2
Order240,29.03,5.92,Male,No,Sat,Dinner,2
Order241,27.18,2,Female,Yes,Sat,Dinner,1
Order242,22.67,2,Male,Yes,Sat,Dinner,1
Order243,17.82,1.75,Male,No,Sat,Dinner,1
Order244,18.78,3,Female,No,Thur,Dinner,1
